"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.447837208E0,-4.555171028E-2,-1.381755531E-2,2.394212615E-1,2.441074018E-1
2.457779208E0,3.227414533E-2,7.338255644E-4,2.634055169E-1,2.653763842E-1
2.467720208E0,7.565142229E-2,2.942435861E-2,2.883435993E-1,2.995512674E-1
2.477662208E0,1.351445027E-1,3.302916706E-2,2.850155103E-1,3.171573799E-1
2.487603208E0,1.432776873E-1,4.209410548E-2,3.068408275E-1,3.412502056E-1
2.497545208E0,1.274326099E-1,6.140687406E-2,3.162818880E-1,3.464738186E-1
2.507486208E0,1.125983700E-1,7.409357786E-2,3.090849888E-1,3.371969477E-1
2.517428208E0,7.202366352E-2,6.908251405E-2,2.559361374E-1,2.747054938E-1
2.527370208E0,3.426190630E-2,5.667823076E-2,2.117240243E-1,2.218408495E-1
2.537311208E0,-1.028993011E-2,2.917175889E-2,1.254941118E-1,1.292503241E-1
2.547253208E0,-7.510163784E-2,7.177457213E-3,3.737540245E-2,8.419437396E-2
2.557194208E0,-1.431494871E-1,1.924143255E-2,-2.047928810E-2,1.458814917E-1
2.567136208E0,-1.543045127E-1,4.484346628E-2,-8.016064882E-2,1.795732406E-1
2.577077208E0,-1.476923351E-1,9.053185523E-2,-1.053690188E-1,2.027601361E-1
2.587019208E0,-1.571673095E-1,1.215373009E-1,-1.202339566E-1,2.322263616E-1
2.596960208E0,-1.760986935E-1,1.630922931E-1,-1.155712406E-1,2.663954909E-1
2.606902208E0,-1.567968884E-1,1.834306633E-1,-9.048566222E-2,2.577202505E-1
2.616844208E0,-1.155113067E-1,1.744054860E-1,-9.433883116E-2,2.294775601E-1
2.626785208E0,-4.615075752E-2,1.381860781E-1,-1.094141226E-1,1.821997113E-1
2.636727208E0,5.068688124E-2,9.001730025E-2,-1.324382651E-1,1.679647830E-1
2.646668208E0,1.303204036E-1,9.407819152E-2,-1.289580023E-1,2.060686295E-1
2.656610208E0,2.019609283E-1,1.072057754E-1,-8.763704494E-2,2.448704688E-1
2.666551208E0,2.648113337E-1,1.458751667E-1,-1.853450418E-2,3.028995453E-1
2.676493208E0,3.281742476E-1,1.758403927E-1,4.957839534E-2,3.756011152E-1
2.686434208E0,3.666544814E-1,1.258385128E-1,9.562521860E-2,3.992681085E-1
