"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.961920583E0,1.911035259E-1,3.685675442E-2,-1.139411831E-1,2.255251010E-1
2.971861583E0,3.035560079E-1,2.860282481E-2,-2.038222432E-1,3.667531572E-1
2.981803583E0,4.470688994E-1,3.370744407E-2,-4.472301364E-1,6.332626529E-1
2.991745583E0,3.637061691E-1,1.332147753E-1,-4.621965234E-1,6.030372958E-1
3.001686583E0,1.588945770E-1,1.494530779E-1,-8.020040989E-3,2.182842875E-1
3.011628583E0,-1.352320647E-1,8.212355912E-2,2.810380881E-1,3.225126311E-1
3.021570583E0,-5.672818060E-1,-1.897187591E-2,2.166485493E-1,6.075402649E-1
3.031512583E0,-9.002618802E-1,-5.528068775E-1,2.264158845E-1,1.080430955E0
3.041453583E0,-7.698460208E-1,-4.886740315E-1,3.728652477E-1,9.851363854E-1
3.051395583E0,-5.968940064E-1,5.171979189E-2,6.324944866E-1,8.712098871E-1
3.061337583E0,-4.361590183E-1,4.039636642E-1,8.592331374E-1,1.044845881E0
3.071278583E0,-2.889284670E-1,1.068221980E-1,8.549870355E-1,9.087868133E-1
3.081220583E0,-2.635359829E-1,4.413829207E-2,4.541300701E-1,5.269094075E-1
3.091162583E0,-7.689008184E-2,1.952496403E-1,6.612506546E-2,2.200159790E-1
3.101103583E0,5.299989358E-2,1.307811642E-1,-1.527212329E-1,2.079338275E-1
