"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.421060958E0,5.294288322E-2,-9.689421058E-3,8.653879166E-4,5.382919896E-2
2.431002958E0,3.577911258E-2,-2.115405679E-2,2.285559654E-2,4.743434735E-2
2.440944958E0,4.066932175E-2,-1.636986494E-2,2.821749330E-2,5.213629386E-2
2.450886958E0,3.846788161E-2,-1.148977876E-2,1.891457319E-2,4.437965762E-2
2.460828958E0,1.739553966E-2,-1.425054163E-2,8.263285160E-3,2.395755869E-2
2.470769958E0,-1.180724602E-2,-4.673971832E-3,-7.812464833E-3,1.490944929E-2
2.480712958E0,-3.747246623E-2,1.079688370E-2,-3.062537670E-2,4.958499895E-2
2.490653958E0,-2.344050083E-2,3.732190043E-2,-5.926913202E-2,7.385940252E-2
2.500595958E0,9.676520638E-3,3.640008688E-2,-5.812366247E-2,6.926010046E-2
2.510537958E0,2.048637785E-2,3.218687564E-2,-3.421439767E-2,5.124755261E-2
2.520479958E0,2.564354897E-2,2.992751151E-2,-9.530376792E-3,4.054720250E-2
2.530421958E0,2.901929274E-2,3.176324487E-2,-4.591233730E-3,4.326779984E-2
2.540363958E0,3.565405525E-2,1.832137316E-2,1.154591203E-2,4.171561404E-2
2.550305958E0,3.282005601E-2,-5.965621769E-3,-2.846132219E-2,4.384964743E-2
2.560247958E0,3.126243085E-2,-2.076580167E-2,-6.113673270E-2,7.173742528E-2
2.570189958E0,2.024474166E-2,-1.944023788E-2,-4.137080491E-2,4.999315866E-2
2.580131958E0,-2.476719752E-2,7.627692819E-3,-1.133424282E-2,2.828534658E-2
2.590073958E0,-6.651485547E-2,8.625520170E-3,4.031596720E-2,7.825600813E-2
2.600015958E0,-7.042032044E-2,9.608437121E-3,7.519636273E-2,1.034690126E-1
2.609957958E0,-1.830226008E-2,2.023107380E-2,6.551980555E-2,7.097262846E-2
2.619899958E0,2.845229555E-2,9.232168794E-3,1.857601941E-2,3.521128455E-2
2.629841958E0,8.070480533E-2,-8.057463169E-4,-4.083110690E-2,9.044940089E-2
2.639783958E0,1.111389415E-1,-6.113848686E-3,-1.003335428E-1,1.498534727E-1
2.649725958E0,9.245529681E-2,-7.294109166E-3,-1.377656633E-1,1.660739712E-1
2.659667958E0,6.432858154E-2,4.873069525E-3,-1.346584529E-1,1.493144740E-1
2.669609958E0,2.423904777E-2,1.559715539E-2,-8.455775499E-2,8.933541639E-2
2.679551958E0,-3.751003459E-2,2.249599278E-2,-3.890152574E-3,4.391133878E-2
2.689493958E0,-5.216162212E-2,2.393440783E-2,8.821168005E-2,1.052377841E-1
2.699435958E0,-5.097609915E-2,1.394590169E-2,1.273529416E-1,1.378833659E-1
2.709377958E0,-8.543103665E-2,1.992789567E-2,9.136976123E-2,1.266649767E-1
2.719319958E0,-7.213519916E-2,4.993989944E-2,2.637912869E-2,9.161516766E-2
2.729261958E0,-3.045887724E-2,4.625556886E-2,-3.223277628E-2,6.408020537E-2
2.739203958E0,2.160516948E-2,2.147653073E-2,-1.054182816E-1,1.097316673E-1
2.749145958E0,6.485344224E-2,-3.923481703E-3,-1.411319053E-1,1.553691648E-1
2.759087958E0,6.497005764E-2,-1.058813810E-2,-1.260893583E-1,1.422383329E-1
2.769029958E0,6.806999557E-2,-5.566256940E-3,-6.532450855E-2,9.450819504E-2
2.778971958E0,3.489596374E-2,8.060094416E-3,6.970465779E-3,3.648672088E-2
2.788913083E0,9.720996022E-4,-8.776670694E-4,4.582462907E-2,4.584334092E-2
2.798855083E0,1.295377538E-2,7.959522307E-3,6.505670607E-2,6.680964973E-2
2.808797083E0,-2.115961164E-3,1.833569884E-2,4.660172403E-2,5.012380498E-2
2.818739083E0,-6.180941831E-2,2.441621840E-2,4.794424474E-2,8.194636366E-2
2.828681083E0,-7.520312358E-2,3.831621945E-2,3.294789076E-2,9.060466861E-2
2.838623083E0,-2.751696032E-2,2.145284951E-2,-1.422686040E-2,3.768038500E-2
2.848565083E0,5.089040089E-2,-1.391344965E-3,-7.444382608E-2,9.018676170E-2
2.858507083E0,8.509639319E-2,-1.678267837E-2,-1.189703733E-1,1.472311249E-1
2.868449083E0,9.677719317E-2,-2.463402718E-2,-9.747133076E-2,1.395468406E-1
2.878391083E0,5.698806010E-2,-1.766443849E-3,-7.792408884E-2,9.655528437E-2
